,episode,iteration,epReward,Number of Balls
9,9.0,1.0,4.133682489976635,110.0
19,9.0,2.0,4.1866359588519595,110.0
29,9.0,3.0,4.3583556506870424,80.0
39,9.0,4.0,4.390130255168732,95.0
49,9.0,5.0,4.499529553930954,95.0
59,9.0,6.0,3.488166791118287,110.0
69,9.0,7.0,4.028469579942911,110.0
79,9.0,8.0,3.587770745120104,95.0
89,9.0,9.0,4.151738272556491,110.0
99,9.0,10.0,4.591334856872145,140.0
109,9.0,11.0,4.192071574044082,110.0
119,9.0,12.0,4.0347718552018454,110.0
129,9.0,13.0,4.123791935108727,110.0
139,9.0,14.0,4.308690885612024,110.0
149,9.0,15.0,4.3851686819043145,80.0
159,9.0,16.0,4.247789084007832,95.0
169,9.0,17.0,3.937799535325064,80.0
179,9.0,18.0,4.218785563634509,80.0
189,9.0,19.0,3.2364816285819735,95.0
199,19.0,10.0,4.221858770917026,245.0
209,29.0,7.0,4.335184304252345,335.0
219,19.0,11.0,4.490454015450609,230.0
229,229.0,1.0,3.8869364197330047,995.0
239,19.0,12.0,3.865570261572094,185.0
249,49.0,5.0,4.174646145842063,515.0
259,19.0,13.0,3.5364259914250584,185.0
269,29.0,9.0,3.87451864154658,350.0
279,19.0,14.0,3.785928182697452,170.0
289,289.0,1.0,3.3012479111134407,1055.0
299,19.0,15.0,4.031553720945938,95.0
309,309.0,1.0,4.356560518925292,1070.0
319,19.0,16.0,4.696196040142873,185.0
329,29.0,11.0,3.9107460191001353,335.0
339,19.0,17.0,3.2128160067877447,185.0
349,49.0,7.0,4.169972043186428,425.0
359,19.0,18.0,4.277766270568235,110.0
369,369.0,1.0,3.8960042535254154,1175.0
379,19.0,19.0,3.428060546948534,155.0
389,29.0,13.0,4.509426109083949,320.0
399,39.0,10.0,3.932445166454751,395.0
409,409.0,1.0,3.468550145291546,1205.0
419,29.0,14.0,4.29543006734162,275.0
429,429.0,1.0,3.709480929554503,1220.0
439,39.0,11.0,4.04563467371581,395.0
449,29.0,15.0,3.695699682412929,335.0
459,229.0,2.0,3.8880660494206665,980.0
469,469.0,1.0,4.167749259296166,1235.0
479,29.0,16.0,4.385557042783651,440.0
