,episode,iteration,epReward,Number of Balls
1219,609.0,2.0,4.030799135532114,1520.0
1229,409.0,3.0,3.8214571342176447,1325.0
1239,309.0,4.0,3.842944677961426,1040.0
1249,249.0,5.0,3.578371003992618,1085.0
1259,69.0,18.0,3.4651244060691835,635.0
1269,1269.0,1.0,3.8636149799578727,1865.0
1279,79.0,16.0,3.388846111973645,485.0
1289,429.0,3.0,2.8599155027600114,1340.0
1299,99.0,13.0,3.783995276678795,785.0
1309,1309.0,1.0,4.371913832725652,1895.0
1319,109.0,12.0,3.847218989520284,680.0
1329,69.0,19.0,4.193439775027265,545.0
1339,669.0,2.0,3.918415399122339,1565.0
1349,89.0,15.0,3.922266312799514,635.0
1359,79.0,17.0,3.6210713847752034,485.0
1369,1369.0,1.0,3.727872234616433,1925.0
1379,229.0,6.0,3.9374217087479115,950.0
1389,1389.0,1.0,4.222771675983825,1940.0
1399,99.0,14.0,3.8934681927768895,575.0
1409,469.0,3.0,3.8698097220176146,1400.0
1419,709.0,2.0,3.951159961668049,1595.0
1429,109.0,13.0,3.546475057081953,800.0
1439,79.0,18.0,3.475479049826896,635.0
1449,289.0,5.0,3.342484857093815,1160.0
1459,729.0,2.0,3.611398000134214,1640.0
1469,209.0,7.0,3.9541946835594213,845.0
1479,369.0,4.0,3.4745712125805435,1130.0
1489,1489.0,1.0,4.010695031989027,2030.0
1499,99.0,15.0,3.4924564283597386,680.0
1509,1509.0,1.0,4.143943621577254,2045.0
1519,79.0,19.0,3.5163314730313706,620.0
1529,89.0,17.0,4.087179028002828,545.0
1539,109.0,14.0,3.52553570703905,590.0
1549,309.0,5.0,3.2936500334267524,1190.0
1559,119.0,13.0,3.3194831670745137,815.0
1569,1569.0,1.0,4.157521747620033,2075.0
1579,789.0,2.0,3.5272114899377605,1745.0
1589,529.0,3.0,3.354516447421341,1460.0
1599,99.0,16.0,3.5097660731236378,575.0
1609,229.0,7.0,3.9755359431045543,905.0
1619,89.0,18.0,3.4766119051234288,665.0
1629,1629.0,1.0,4.040898742781045,2105.0
1639,409.0,4.0,3.8904600646452425,1220.0
1649,109.0,15.0,3.5099200525420744,680.0
1659,829.0,2.0,3.67887231265366,1760.0
1669,1669.0,1.0,3.9589821128182026,2120.0
1679,119.0,14.0,3.5262136697011126,605.0
1689,129.0,13.0,4.38375257455564,845.0
1699,99.0,17.0,3.773675359647501,560.0
1709,89.0,19.0,3.201927862641591,665.0
1719,429.0,4.0,4.2862856309322686,1235.0
1729,1729.0,1.0,3.9189845907576686,2135.0
1739,289.0,6.0,4.082762525323375,1100.0
1749,249.0,7.0,4.0643469051989385,980.0
1759,109.0,16.0,3.811924012827837,605.0
1769,589.0,3.0,3.489061306067213,1505.0
1779,889.0,2.0,3.6049947117130934,1835.0
1789,1789.0,1.0,3.6497549092830437,2180.0
1799,99.0,18.0,3.0731096127975883,665.0
1809,1809.0,1.0,4.483681324477125,2210.0
1819,129.0,14.0,3.329117326542438,605.0
1829,609.0,3.0,3.7645593774687502,1520.0
1839,229.0,8.0,3.9479622269799703,995.0
1849,369.0,5.0,2.909409384316355,1280.0
1859,309.0,6.0,3.71037900458623,1175.0
1869,109.0,17.0,3.7379103482009377,575.0
1879,469.0,4.0,3.7799921434479824,1325.0
1889,209.0,9.0,3.077555567876277,890.0
1899,99.0,19.0,3.8201697376252834,695.0
1909,1909.0,1.0,4.102202499866941,2300.0
1919,119.0,16.0,3.791443220956662,650.0
1929,1929.0,1.0,3.606471266196455,2300.0
1939,969.0,2.0,3.343331662066835,1865.0
1949,129.0,15.0,3.4691326258367288,755.0
1959,139.0,14.0,3.8714188940164074,620.0
1969,1969.0,1.0,3.5689932859952034,2375.0
1979,109.0,18.0,3.201740923462224,665.0
1989,1989.0,1.0,4.232989031390659,2390.0
1999,199.0,10.0,3.3504930743198864,755.0
2009,669.0,3.0,3.363984256370056,1535.0
2019,1009.0,2.0,3.7897810026985654,1940.0
2029,289.0,7.0,3.8376088056098188,1100.0
2039,119.0,17.0,3.525623976167603,575.0
2049,409.0,5.0,2.941764532005496,1340.0
2059,1029.0,2.0,4.374306399118426,1970.0
2069,229.0,9.0,3.358409077988102,920.0
2079,129.0,16.0,3.602402937163289,680.0
2089,109.0,19.0,3.826647906651933,695.0
2099,139.0,15.0,3.7784826269800273,755.0
2109,2109.0,1.0,4.164207387697836,2450.0
2119,529.0,4.0,4.065467023676322,1400.0
2129,709.0,3.0,4.126028866395128,1565.0
2139,1069.0,2.0,4.258340211984177,1985.0
2149,429.0,5.0,3.6326842823993184,1370.0
2159,119.0,18.0,3.9349686392246426,710.0
2169,309.0,7.0,4.3854168694514915,1145.0
2179,1089.0,2.0,3.749588343946124,2000.0
2189,729.0,3.0,4.151158325998854,1580.0
2199,199.0,11.0,3.783900249310342,920.0
2209,129.0,17.0,3.926703230272701,620.0
2219,369.0,6.0,3.755463155216275,1265.0
2229,2229.0,1.0,4.144247668929641,2525.0
2239,139.0,16.0,3.844214733736255,680.0
2249,149.0,15.0,3.912287694043658,800.0
2259,1129.0,2.0,3.8318682941447944,2015.0
2269,2269.0,1.0,4.089232414572752,2555.0
2279,119.0,19.0,3.953666294408272,710.0
2289,2289.0,1.0,4.188178291710777,2570.0
2299,229.0,10.0,3.713096336397979,905.0
2309,209.0,11.0,3.69613730298257,920.0
2319,289.0,8.0,3.622344284024362,1100.0
2329,2329.0,1.0,4.199043990576593,2615.0
2339,129.0,18.0,4.088063089433717,725.0
2349,469.0,5.0,2.7025752278460518,1400.0
2359,589.0,4.0,4.127090763390574,1460.0
2369,789.0,3.0,4.01514370013732,1640.0
2379,139.0,17.0,3.6227069349132353,680.0
2389,2389.0,1.0,4.381044267040386,2660.0
2399,149.0,16.0,3.687850002714962,695.0
2409,2409.0,1.0,4.0587643050853455,2675.0
2419,219.0,11.0,3.9644440722212173,935.0
2429,269.0,9.0,3.795117035377205,1040.0
2439,609.0,4.0,4.131186367395601,1475.0
2449,349.0,7.0,3.651674598292521,1160.0
2459,409.0,6.0,3.9106600723555545,1340.0
2469,129.0,19.0,3.525451213394749,725.0
2479,309.0,8.0,3.929595001727763,1100.0
2489,829.0,3.0,4.107539951201718,1670.0
2499,249.0,10.0,3.8476324808942994,935.0
2509,2509.0,1.0,4.225725082452412,2720.0
2519,139.0,18.0,4.195138292948277,755.0
2529,229.0,11.0,3.5143688683382295,935.0
2539,1269.0,2.0,4.114965633104352,2150.0
2549,149.0,17.0,3.696998500906095,680.0
2559,159.0,16.0,3.7820468951645156,740.0
2569,2569.0,1.0,4.196959785720658,2735.0
2579,429.0,6.0,3.4533936742930584,1385.0
2589,369.0,7.0,3.2708353910648515,1190.0
2599,199.0,13.0,4.26062631945211,980.0
2609,289.0,9.0,3.7344553620020013,1070.0
2619,1309.0,2.0,3.8048592939754213,2210.0
2629,2629.0,1.0,4.211840753150038,2750.0
2639,219.0,12.0,2.565182284261044,980.0
2649,529.0,5.0,3.3860126815922724,1475.0
2659,139.0,19.0,3.290727230296219,785.0
2669,889.0,3.0,4.35749496516963,1700.0
2679,669.0,4.0,3.9919629205402978,1610.0
2689,2689.0,1.0,4.334502666289685,2780.0
