episode,iteration,epReward,Number of Balls
39.00,49.00,3.75,365.00
1969.00,1.00,4.64,3080.00
59.00,33.00,4.34,440.00
1989.00,1.00,4.01,3095.00
49.00,40.00,4.10,575.00
669.00,3.00,4.57,1445.00
1009.00,2.00,4.26,2075.00
69.00,29.00,4.32,485.00
59.00,34.00,4.39,455.00
49.00,41.00,3.66,470.00
1029.00,2.00,4.38,2135.00
89.00,23.00,3.50,650.00
79.00,26.00,4.09,770.00
109.00,19.00,3.72,575.00
49.00,42.00,4.43,470.00
529.00,4.00,4.12,1400.00
709.00,3.00,4.33,1460.00
1069.00,2.00,3.76,2165.00
49.00,43.00,4.11,500.00
59.00,36.00,3.26,470.00
69.00,31.00,3.60,590.00
1089.00,2.00,3.71,2195.00
729.00,3.00,3.66,1490.00
49.00,44.00,3.99,350.00
129.00,17.00,4.30,800.00
59.00,37.00,3.55,605.00
69.00,32.00,4.09,620.00
49.00,45.00,4.45,440.00
1129.00,2.00,3.81,2285.00
59.00,38.00,4.10,635.00
49.00,46.00,4.45,395.00
69.00,33.00,3.49,485.00
79.00,29.00,3.95,515.00
59.00,39.00,4.09,590.00
49.00,47.00,3.65,410.00
589.00,4.00,4.02,1490.00
789.00,3.00,3.87,1520.00
69.00,34.00,3.84,530.00
49.00,48.00,3.81,710.00
109.00,22.00,4.31,695.00
89.00,27.00,4.61,725.00
609.00,4.00,3.62,1535.00
49.00,49.00,4.15,395.00
59.00,41.00,4.15,530.00
129.00,19.00,4.48,650.00
79.00,31.00,3.57,635.00
829.00,3.00,3.94,1595.00
99.00,25.00,4.03,830.00
59.00,42.00,4.34,515.00
109.00,23.00,4.06,680.00
1269.00,2.00,4.10,2525.00
149.00,17.00,4.30,860.00
79.00,32.00,3.81,635.00
59.00,43.00,4.46,635.00
69.00,37.00,4.30,665.00
99.00,26.00,4.35,830.00
89.00,29.00,4.41,590.00
1309.00,2.00,3.78,2570.00
59.00,44.00,4.09,410.00
529.00,5.00,4.30,1385.00
69.00,38.00,3.57,710.00
889.00,3.00,4.26,1685.00
669.00,4.00,4.06,1550.00
59.00,45.00,3.74,545.00
79.00,34.00,3.56,560.00
69.00,39.00,3.59,650.00
1369.00,2.00,3.86,2630.00
109.00,25.00,3.80,845.00
59.00,46.00,4.28,410.00
1389.00,2.00,4.07,2675.00
89.00,31.00,3.22,680.00
69.00,40.00,3.58,680.00
59.00,47.00,3.48,455.00
709.00,4.00,4.50,1625.00
149.00,19.00,4.21,695.00
109.00,26.00,4.13,875.00
69.00,41.00,4.57,560.00
59.00,48.00,4.86,770.00
169.00,17.00,4.58,875.00
99.00,29.00,3.98,680.00
969.00,3.00,3.56,1835.00
729.00,4.00,4.29,1655.00
59.00,49.00,4.02,500.00
589.00,5.00,3.31,1445.00
79.00,37.00,4.59,755.00
89.00,33.00,4.41,575.00
1489.00,2.00,4.23,2795.00
129.00,23.00,4.14,755.00
99.00,30.00,3.89,815.00
69.00,43.00,4.25,710.00
1509.00,2.00,4.67,2795.00
1009.00,3.00,3.67,1925.00
79.00,38.00,3.98,770.00
609.00,5.00,4.41,1460.00
89.00,34.00,3.89,590.00
69.00,44.00,4.23,485.00
1029.00,3.00,3.94,1970.00
99.00,31.00,3.94,695.00
79.00,39.00,4.39,665.00
1569.00,2.00,4.57,2855.00
69.00,45.00,4.41,620.00
789.00,4.00,4.49,1715.00
529.00,6.00,3.45,1370.00
109.00,29.00,3.73,710.00
79.00,40.00,4.90,680.00
1069.00,3.00,4.54,2015.00
69.00,46.00,4.25,515.00
169.00,19.00,4.30,740.00
89.00,36.00,4.18,635.00
129.00,25.00,4.35,860.00
1629.00,2.00,4.15,2900.00
1089.00,3.00,3.79,2015.00
79.00,41.00,4.53,575.00
69.00,47.00,4.22,560.00
99.00,33.00,4.49,590.00
829.00,4.00,3.88,1745.00
89.00,37.00,4.19,770.00
1669.00,2.00,3.96,2930.00
669.00,5.00,4.36,1535.00
69.00,48.00,4.25,800.00
129.00,26.00,4.28,935.00
1129.00,3.00,4.44,2060.00
99.00,34.00,3.89,620.00
109.00,31.00,4.13,710.00
89.00,38.00,4.17,800.00
69.00,49.00,3.80,545.00
79.00,43.00,4.16,710.00
149.00,23.00,4.42,770.00
1729.00,2.00,3.93,3020.00
119.00,29.00,4.05,740.00
99.00,35.00,3.75,575.00
89.00,39.00,3.61,680.00
79.00,44.00,4.16,545.00
589.00,6.00,3.30,1475.00
709.00,5.00,4.37,1595.00
889.00,4.00,3.88,1865.00
169.00,21.00,4.24,950.00
1789.00,2.00,3.68,3050.00
79.00,45.00,4.16,695.00
189.00,19.00,3.86,785.00
1809.00,2.00,3.69,3080.00
109.00,33.00,3.87,605.00
129.00,28.00,3.26,845.00
729.00,5.00,4.60,1610.00
609.00,6.00,4.18,1490.00
79.00,46.00,4.09,530.00
89.00,41.00,4.19,605.00
99.00,37.00,3.82,800.00
529.00,7.00,4.03,1265.00
119.00,31.00,4.36,755.00
109.00,34.00,3.80,635.00
149.00,25.00,4.44,875.00
79.00,47.00,4.03,590.00
129.00,29.00,4.26,770.00
89.00,42.00,4.29,605.00
99.00,38.00,3.72,860.00
1269.00,3.00,4.37,2285.00
1909.00,2.00,4.28,3170.00
79.00,48.00,4.76,830.00
109.00,35.00,3.69,605.00
1929.00,2.00,4.22,3185.00
89.00,43.00,4.37,755.00
969.00,4.00,4.56,2000.00
99.00,39.00,4.42,680.00
169.00,23.00,4.10,800.00
79.00,49.00,4.44,635.00
1309.00,3.00,4.03,2360.00
1969.00,2.00,3.58,3245.00
789.00,5.00,4.31,1685.00
89.00,44.00,3.80,590.00
1989.00,2.00,3.91,3290.00
189.00,21.00,4.27,965.00
99.00,40.00,3.76,815.00
669.00,6.00,3.84,1565.00
129.00,31.00,4.21,815.00
1009.00,4.00,3.35,2045.00
89.00,45.00,4.21,770.00
139.00,29.00,3.81,785.00
109.00,37.00,3.50,815.00
119.00,34.00,3.39,635.00
99.00,41.00,4.21,680.00
1369.00,3.00,4.02,2525.00
1029.00,4.00,4.20,2090.00
589.00,7.00,3.85,1355.00
89.00,46.00,3.92,560.00
829.00,5.00,4.06,1745.00
129.00,32.00,4.11,815.00
1389.00,3.00,4.06,2525.00
109.00,38.00,3.99,875.00
99.00,42.00,4.74,635.00
89.00,47.00,3.96,590.00
529.00,8.00,4.72,1385.00
169.00,25.00,4.07,935.00
709.00,6.00,4.32,1610.00
609.00,7.00,4.68,1400.00
1069.00,4.00,3.84,2135.00
109.00,39.00,4.44,725.00
99.00,43.00,4.06,800.00
89.00,48.00,4.13,845.00
139.00,31.00,4.02,815.00
149.00,29.00,4.28,815.00
1089.00,4.00,3.95,2165.00
189.00,23.00,4.38,815.00
729.00,6.00,3.67,1640.00
99.00,44.00,4.06,680.00
89.00,49.00,3.88,695.00
129.00,34.00,4.67,680.00
119.00,37.00,4.15,860.00
889.00,5.00,4.29,1880.00
1489.00,3.00,3.81,2690.00
139.00,32.00,4.44,815.00
99.00,45.00,4.12,800.00
109.00,41.00,4.38,695.00
1129.00,4.00,4.47,2195.00
1509.00,3.00,4.26,2705.00
129.00,35.00,3.83,695.00
119.00,38.00,4.31,890.00
169.00,27.00,4.50,920.00
99.00,46.00,3.65,605.00
109.00,42.00,3.90,695.00
159.00,29.00,3.82,830.00
149.00,31.00,3.45,830.00
119.00,39.00,3.97,740.00
669.00,7.00,4.14,1505.00
99.00,47.00,4.27,680.00
1569.00,3.00,4.37,2750.00
589.00,8.00,3.65,1520.00
109.00,43.00,4.67,845.00
789.00,6.00,4.45,1730.00
189.00,25.00,4.39,950.00
139.00,34.00,3.52,740.00
529.00,9.00,4.59,1400.00
99.00,48.00,3.90,845.00
129.00,37.00,3.74,890.00
209.00,23.00,4.25,830.00
109.00,44.00,3.87,710.00
969.00,5.00,4.64,1985.00
179.00,27.00,3.90,920.00
609.00,8.00,4.23,1550.00
1629.00,3.00,4.19,2855.00
99.00,49.00,4.44,725.00
119.00,41.00,4.29,710.00
169.00,29.00,3.81,875.00
129.00,38.00,3.84,890.00
109.00,45.00,4.18,815.00
159.00,31.00,4.47,830.00
709.00,7.00,4.66,1565.00
829.00,6.00,3.97,1775.00
199.00,25.00,4.26,965.00
1669.00,3.00,4.29,2885.00
119.00,42.00,3.91,710.00
1009.00,5.00,4.11,2060.00
109.00,46.00,3.98,665.00
129.00,39.00,4.54,740.00
1269.00,4.00,4.17,2360.00
149.00,34.00,4.14,755.00
729.00,7.00,4.19,1565.00
159.00,32.00,3.57,815.00
189.00,27.00,3.94,920.00
1029.00,5.00,3.86,2075.00
119.00,43.00,3.91,860.00
109.00,47.00,4.30,710.00
139.00,37.00,4.59,905.00
1729.00,3.00,4.13,2945.00
129.00,40.00,4.60,935.00
179.00,29.00,3.78,875.00
1309.00,4.00,4.30,2405.00
149.00,35.00,4.07,770.00
169.00,31.00,4.11,860.00
109.00,48.00,2.95,890.00
229.00,23.00,4.61,905.00
529.00,10.00,4.12,1280.00
589.00,9.00,3.94,1430.00
139.00,38.00,4.00,905.00
129.00,41.00,3.79,740.00
889.00,6.00,3.78,1835.00
1069.00,5.00,4.21,2090.00
669.00,8.00,4.43,1595.00
1789.00,3.00,4.67,3080.00
109.00,49.00,4.46,770.00
119.00,45.00,3.51,875.00
1809.00,3.00,3.87,3095.00
159.00,34.00,3.91,845.00
1089.00,5.00,4.56,2090.00
129.00,42.00,4.27,770.00
1369.00,4.00,4.13,2480.00
609.00,9.00,3.93,1460.00
219.00,25.00,3.72,995.00
189.00,29.00,4.56,890.00
119.00,46.00,3.95,695.00
789.00,7.00,4.37,1655.00
149.00,37.00,4.06,950.00
1389.00,4.00,4.26,2495.00
179.00,31.00,3.86,860.00
129.00,43.00,4.19,860.00
139.00,40.00,4.12,935.00
169.00,33.00,3.86,800.00
119.00,47.00,3.69,770.00
1129.00,5.00,4.27,2105.00
209.00,27.00,4.07,995.00
709.00,8.00,4.40,1640.00
149.00,38.00,4.36,905.00
129.00,44.00,3.79,725.00
1909.00,3.00,3.96,3335.00
139.00,41.00,4.39,740.00
229.00,25.00,3.66,1010.00
119.00,48.00,4.16,920.00
169.00,34.00,4.22,860.00
1929.00,3.00,4.40,3365.00
199.00,29.00,4.21,920.00
829.00,7.00,4.09,1715.00
969.00,6.00,3.99,1955.00
529.00,11.00,4.42,1400.00
729.00,8.00,3.83,1655.00
129.00,45.00,4.43,905.00
119.00,49.00,4.12,770.00
189.00,31.00,4.02,875.00
589.00,10.00,4.65,1355.00
1969.00,3.00,4.08,3410.00
159.00,37.00,4.04,965.00
179.00,33.00,3.99,815.00
169.00,35.00,4.67,830.00
1489.00,4.00,4.48,2690.00
1989.00,3.00,4.07,3410.00
129.00,46.00,4.40,725.00
149.00,40.00,4.25,950.00
139.00,43.00,3.93,875.00
669.00,9.00,4.37,1550.00
1509.00,4.00,4.45,2720.00
549.00,11.00,4.24,1445.00
1009.00,6.00,3.93,1985.00
159.00,38.00,3.99,920.00
209.00,29.00,4.09,950.00
609.00,10.00,4.36,1385.00
129.00,47.00,3.88,800.00
169.00,36.00,3.75,770.00
149.00,41.00,3.64,770.00
139.00,44.00,4.57,770.00
1029.00,6.00,4.36,2015.00
199.00,31.00,3.56,890.00
229.00,27.00,3.82,1010.00
889.00,7.00,4.64,1835.00
129.00,48.00,4.40,935.00
249.00,25.00,4.25,1040.00
189.00,33.00,3.45,830.00
1569.00,4.00,4.00,2810.00
169.00,37.00,3.84,980.00
139.00,45.00,3.98,920.00
789.00,8.00,3.98,1715.00
1269.00,5.00,4.51,2255.00
529.00,12.00,4.30,1325.00
129.00,49.00,4.44,770.00
219.00,29.00,4.26,980.00
709.00,9.00,3.55,1565.00
159.00,40.00,4.19,965.00
1069.00,6.00,4.01,2105.00
139.00,46.00,4.50,785.00
149.00,43.00,4.28,875.00
169.00,38.00,4.39,935.00
179.00,36.00,3.88,800.00
589.00,11.00,4.20,1475.00
249.00,26.00,4.53,1070.00
209.00,31.00,4.31,905.00
1629.00,4.00,3.88,2870.00
1089.00,6.00,4.26,2120.00
1309.00,5.00,3.88,2285.00
159.00,41.00,4.38,770.00
729.00,9.00,3.77,1580.00
139.00,47.00,4.33,800.00
149.00,44.00,4.51,785.00
169.00,39.00,4.08,860.00
829.00,8.00,4.47,1805.00
189.00,35.00,4.22,830.00
179.00,37.00,4.58,995.00
229.00,29.00,4.57,1025.00
1669.00,4.00,4.62,2915.00
669.00,10.00,4.58,1505.00
609.00,11.00,4.10,1490.00
139.00,48.00,4.41,965.00
149.00,45.00,4.39,920.00
259.00,26.00,4.01,1085.00
1129.00,6.00,4.20,2195.00
969.00,7.00,3.81,1910.00
169.00,40.00,3.33,965.00
219.00,31.00,4.05,920.00
179.00,38.00,3.12,950.00
1369.00,5.00,3.96,2330.00
139.00,49.00,3.76,815.00
159.00,43.00,4.01,875.00
529.00,13.00,4.35,1400.00
149.00,46.00,3.91,860.00
1729.00,4.00,4.10,3080.00
209.00,33.00,4.09,860.00
1389.00,5.00,4.17,2330.00
239.00,29.00,3.75,1055.00
169.00,41.00,3.73,785.00
199.00,35.00,4.13,860.00
179.00,39.00,4.07,920.00
189.00,37.00,3.92,1010.00
159.00,44.00,3.96,815.00
149.00,47.00,4.18,815.00
1009.00,7.00,4.36,1955.00
589.00,12.00,4.21,1370.00
709.00,10.00,4.00,1595.00
789.00,9.00,4.18,1670.00
889.00,8.00,4.58,1910.00
229.00,31.00,3.37,935.00
169.00,42.00,3.64,875.00
549.00,13.00,4.49,1430.00
1789.00,4.00,4.07,3155.00
149.00,48.00,4.15,965.00
1029.00,7.00,4.23,1985.00
189.00,38.00,4.26,950.00
1809.00,4.00,4.29,3185.00
249.00,29.00,4.30,1055.00
219.00,33.00,3.95,860.00
