episode,iteration,epReward,Number of Balls
1269.00,38.00,3.83,2345.00
1419.00,34.00,3.71,2405.00
1049.00,46.00,3.93,2150.00
1509.00,32.00,4.14,2705.00
1789.00,27.00,4.64,2810.00
1239.00,39.00,4.28,2240.00
1179.00,41.00,4.17,2360.00
1099.00,44.00,4.45,2075.00
1029.00,47.00,3.81,1910.00
1669.00,29.00,3.79,2840.00
1729.00,28.00,4.69,3095.00
1309.00,37.00,4.11,2375.00
1009.00,48.00,4.01,1925.00
1939.00,25.00,3.97,3200.00
989.00,49.00,4.10,1790.00
1129.00,43.00,4.11,1895.00
1079.00,45.00,4.28,1940.00
1429.00,34.00,3.41,2405.00
1279.00,38.00,4.43,2345.00
1389.00,35.00,3.69,2405.00
1569.00,31.00,4.37,2915.00
1159.00,42.00,4.15,2150.00
1249.00,39.00,4.22,2240.00
1059.00,46.00,4.38,2180.00
1189.00,41.00,3.49,2375.00
1219.00,40.00,3.51,2135.00
1109.00,44.00,3.57,2090.00
1809.00,27.00,4.46,2870.00
1039.00,47.00,4.53,1925.00
1629.00,30.00,3.47,2810.00
1019.00,48.00,4.47,1925.00
1579.00,31.00,4.65,2915.00
999.00,49.00,4.10,1805.00
1689.00,29.00,3.75,2870.00
1139.00,43.00,4.38,1910.00
1089.00,45.00,3.59,1985.00
1169.00,42.00,4.30,2150.00
1489.00,33.00,4.48,2570.00
1199.00,41.00,4.33,2375.00
1329.00,37.00,3.97,2390.00
1069.00,46.00,3.97,2210.00
1969.00,25.00,4.38,3230.00
1119.00,44.00,4.09,2090.00
1589.00,31.00,3.60,2915.00
1449.00,34.00,3.93,2450.00
1369.00,36.00,4.61,2345.00
1049.00,47.00,4.32,1940.00
1299.00,38.00,4.22,2375.00
1829.00,27.00,3.79,2900.00
1029.00,48.00,4.70,1955.00
1149.00,43.00,4.38,1940.00
1009.00,49.00,4.16,1835.00
1099.00,45.00,4.16,2015.00
1269.00,39.00,3.70,2270.00
1179.00,42.00,4.42,2150.00
1339.00,37.00,3.21,2390.00
1709.00,29.00,4.37,2945.00
1239.00,40.00,3.46,2150.00
1209.00,41.00,4.31,2375.00
1459.00,34.00,3.91,2450.00
1909.00,26.00,3.77,3365.00
1079.00,46.00,4.13,2240.00
1419.00,35.00,3.91,2420.00
1129.00,44.00,4.28,2090.00
1989.00,25.00,4.03,3230.00
1309.00,38.00,3.71,2375.00
1659.00,30.00,4.02,2870.00
1059.00,47.00,3.94,1970.00
1509.00,33.00,4.04,2600.00
1779.00,28.00,3.82,3140.00
1159.00,43.00,4.15,1970.00
1609.00,31.00,4.02,2945.00
1039.00,48.00,4.02,1955.00
1109.00,45.00,4.43,2045.00
1019.00,49.00,4.53,1850.00
1249.00,40.00,4.19,2180.00
1219.00,41.00,3.84,2375.00
1389.00,36.00,4.51,2390.00
1429.00,35.00,4.36,2435.00
1669.00,30.00,4.12,2900.00
1789.00,28.00,4.31,3140.00
1089.00,46.00,4.26,2240.00
1139.00,44.00,4.55,2090.00
1729.00,29.00,4.28,3005.00
1929.00,26.00,3.80,3365.00
1619.00,31.00,4.33,2945.00
1569.00,32.00,4.06,2735.00
1069.00,47.00,4.48,1985.00
1169.00,43.00,4.22,1985.00
1359.00,37.00,3.99,2405.00
1049.00,48.00,4.09,1970.00
1229.00,41.00,3.89,2390.00
1939.00,26.00,3.58,3380.00
1739.00,29.00,4.57,3005.00
1029.00,49.00,4.04,1850.00
1529.00,33.00,4.35,2600.00
1629.00,31.00,4.28,2945.00
1329.00,38.00,3.29,2390.00
1579.00,32.00,3.52,2735.00
1099.00,46.00,4.10,2240.00
1489.00,34.00,4.53,2450.00
1809.00,28.00,4.04,3185.00
1369.00,37.00,4.05,2405.00
1299.00,39.00,4.29,2330.00
1179.00,43.00,4.32,2015.00
1449.00,35.00,4.21,2465.00
1079.00,47.00,3.84,2000.00
1269.00,40.00,3.73,2195.00
1209.00,42.00,4.28,2195.00
1239.00,41.00,4.29,2405.00
1129.00,45.00,3.93,2060.00
1059.00,48.00,4.18,1970.00
1339.00,38.00,3.41,2405.00
1039.00,49.00,4.34,1880.00
1499.00,34.00,3.74,2465.00
1889.00,27.00,3.81,2945.00
1159.00,44.00,4.38,2090.00
1109.00,46.00,4.33,2240.00
1309.00,39.00,3.93,2360.00
1459.00,35.00,4.28,2480.00
1419.00,36.00,4.52,2405.00
1549.00,33.00,4.49,2600.00
1189.00,43.00,4.20,2060.00
1279.00,40.00,3.79,2195.00
1969.00,26.00,4.21,3425.00
1089.00,47.00,4.24,2030.00
1219.00,42.00,4.02,2225.00
1249.00,41.00,4.06,2405.00
1139.00,45.00,3.96,2090.00
1769.00,29.00,4.38,3065.00
1509.00,34.00,3.77,2465.00
1069.00,48.00,3.76,1970.00
1389.00,37.00,4.17,2420.00
1049.00,49.00,3.90,1880.00
1659.00,31.00,4.49,2990.00
1169.00,44.00,3.90,2135.00
1119.00,46.00,3.62,2285.00
1909.00,27.00,4.07,2975.00
1199.00,43.00,3.72,2075.00
1779.00,29.00,4.25,3065.00
1229.00,42.00,4.53,2240.00
1359.00,38.00,4.85,2450.00
1099.00,47.00,4.40,2045.00
1989.00,26.00,4.58,3425.00
1149.00,45.00,4.30,2090.00
1669.00,31.00,3.55,2990.00
1399.00,37.00,3.91,2420.00
1569.00,33.00,4.42,2615.00
1079.00,48.00,4.12,1985.00
1329.00,39.00,4.01,2435.00
1729.00,30.00,3.93,3020.00
1789.00,29.00,4.23,3065.00
1179.00,44.00,4.22,2180.00
1059.00,49.00,4.34,1880.00
1129.00,46.00,4.50,2300.00
1299.00,40.00,4.30,2210.00
1529.00,34.00,4.47,2465.00
1209.00,43.00,3.93,2105.00
1369.00,38.00,4.51,2465.00
1269.00,41.00,3.99,2465.00
1239.00,42.00,4.17,2240.00
1929.00,27.00,4.06,2990.00
1579.00,33.00,4.25,2630.00
1489.00,35.00,4.00,2525.00
1629.00,32.00,3.76,2840.00
1109.00,47.00,3.48,2075.00
1159.00,45.00,4.42,2120.00
1339.00,39.00,4.55,2465.00
1089.00,48.00,4.02,2015.00
1189.00,44.00,3.89,2195.00
1939.00,27.00,4.35,2990.00
1689.00,31.00,3.98,3020.00
1309.00,40.00,4.02,2225.00
1069.00,49.00,3.94,1925.00
1139.00,46.00,4.07,2315.00
1219.00,43.00,3.47,2105.00
1589.00,33.00,3.75,2660.00
1279.00,41.00,4.25,2480.00
1809.00,29.00,4.17,3080.00
1249.00,42.00,3.88,2270.00
1419.00,37.00,4.57,2465.00
1459.00,36.00,4.09,2420.00
1119.00,47.00,4.23,2075.00
1169.00,45.00,4.37,2120.00
1549.00,34.00,3.74,2510.00
1819.00,29.00,4.33,3080.00
1099.00,48.00,3.60,2015.00
1389.00,38.00,3.66,2480.00
1509.00,35.00,4.45,2555.00
1229.00,43.00,3.97,2135.00
1149.00,46.00,3.71,2330.00
1429.00,37.00,4.31,2465.00
1079.00,49.00,4.17,1940.00
1709.00,31.00,4.27,3065.00
1359.00,39.00,3.76,2480.00
1829.00,29.00,4.22,3110.00
1179.00,45.00,3.97,2120.00
1129.00,47.00,3.70,2075.00
1659.00,32.00,3.21,2960.00
1609.00,33.00,3.83,2660.00
1969.00,27.00,3.90,3050.00
1329.00,40.00,4.17,2285.00
1209.00,44.00,3.86,2195.00
1109.00,48.00,4.09,2045.00
1299.00,41.00,4.12,2510.00
1239.00,43.00,3.90,2135.00
1269.00,42.00,4.50,2285.00
1159.00,46.00,4.48,2345.00
1569.00,34.00,4.24,2540.00
1779.00,30.00,3.68,3125.00
1089.00,49.00,3.94,1955.00
1369.00,39.00,4.57,2495.00
1669.00,32.00,3.63,2960.00
1619.00,33.00,4.23,2660.00
1909.00,28.00,4.11,3305.00
1189.00,45.00,4.24,2120.00
1139.00,47.00,3.98,2090.00
1339.00,40.00,3.98,2285.00
1729.00,31.00,4.47,3080.00
1489.00,36.00,3.78,2465.00
1449.00,37.00,4.21,2465.00
1219.00,44.00,3.89,2225.00
1789.00,30.00,4.43,3125.00
1309.00,41.00,4.11,2525.00
1579.00,34.00,3.61,2540.00
1989.00,27.00,4.26,3080.00
1249.00,43.00,4.40,2150.00
1119.00,48.00,4.32,2045.00
1629.00,33.00,4.78,2660.00
1169.00,46.00,4.32,2375.00
1099.00,49.00,4.24,1955.00
1739.00,31.00,3.96,3080.00
1419.00,38.00,4.10,2495.00
1199.00,45.00,3.71,2135.00
1459.00,37.00,4.35,2480.00
1929.00,28.00,4.08,3320.00
1149.00,47.00,4.05,2105.00
1589.00,34.00,4.63,2555.00
1689.00,32.00,4.39,2990.00
1229.00,44.00,4.06,2255.00
1259.00,43.00,4.21,2150.00
1389.00,39.00,3.95,2510.00
1869.00,29.00,4.07,3140.00
1129.00,48.00,3.95,2075.00
1549.00,35.00,4.31,2585.00
1179.00,46.00,4.30,2390.00
1809.00,30.00,4.20,3125.00
1939.00,28.00,3.82,3350.00
1429.00,38.00,3.87,2495.00
1509.00,36.00,3.99,2465.00
1109.00,49.00,4.10,1955.00
1359.00,40.00,3.98,2300.00
1209.00,45.00,4.08,2180.00
1159.00,47.00,4.32,2150.00
1329.00,41.00,4.26,2540.00
1239.00,44.00,4.09,2255.00
1299.00,42.00,3.83,2315.00
1269.00,43.00,4.53,2150.00
1139.00,48.00,4.04,2090.00
1189.00,46.00,3.97,2390.00
1479.00,37.00,4.43,2495.00
1659.00,33.00,4.50,2675.00
1369.00,40.00,4.01,2300.00
1889.00,29.00,4.43,3155.00
1769.00,31.00,4.07,3080.00
1119.00,49.00,4.29,1985.00
1219.00,45.00,4.00,2195.00
1339.00,41.00,4.12,2555.00
1569.00,35.00,4.11,2585.00
1169.00,47.00,4.23,2165.00
1249.00,44.00,4.23,2270.00
1309.00,42.00,4.46,2330.00
1279.00,43.00,3.38,2195.00
1529.00,36.00,4.32,2465.00
1449.00,38.00,4.44,2510.00
1669.00,33.00,4.37,2690.00
1489.00,37.00,4.01,2540.00
1969.00,28.00,3.80,3395.00
1779.00,31.00,4.06,3095.00
1149.00,48.00,4.22,2105.00
1579.00,35.00,3.92,2600.00
1229.00,45.00,4.74,2210.00
1729.00,32.00,3.93,3020.00
1129.00,49.00,3.80,2000.00
1419.00,39.00,4.45,2510.00
1909.00,29.00,4.37,3200.00
1629.00,34.00,3.97,2570.00
1259.00,44.00,4.52,2315.00
1179.00,47.00,4.43,2180.00
1289.00,43.00,4.63,2195.00
1459.00,38.00,3.97,2540.00
1789.00,31.00,4.31,3110.00
1499.00,37.00,3.86,2555.00
1389.00,40.00,4.56,2345.00
1589.00,35.00,4.42,2630.00
1209.00,46.00,4.30,2390.00
1159.00,48.00,4.18,2105.00
1989.00,28.00,4.75,3395.00
1359.00,41.00,4.51,2585.00
1429.00,39.00,3.98,2525.00
1239.00,45.00,3.44,2225.00
1139.00,49.00,4.49,2000.00
1509.00,37.00,4.47,2570.00
1269.00,44.00,3.68,2345.00
1299.00,43.00,3.98,2210.00
1189.00,47.00,3.90,2180.00
1929.00,29.00,3.70,3245.00
1399.00,40.00,4.30,2345.00
1649.00,34.00,3.69,2600.00
1809.00,31.00,4.02,3110.00
1219.00,46.00,3.33,2390.00
1169.00,48.00,3.49,2120.00
1369.00,41.00,4.17,2615.00
1479.00,38.00,3.93,2540.00
1249.00,45.00,3.73,2255.00
1939.00,29.00,4.39,3260.00
1339.00,42.00,4.19,2405.00
1279.00,44.00,4.16,2360.00
1309.00,43.00,4.35,2210.00
1149.00,49.00,4.16,2015.00
1199.00,47.00,4.42,2180.00
1819.00,31.00,4.25,3110.00
1709.00,33.00,4.44,2750.00
1659.00,34.00,4.47,2600.00
1569.00,36.00,3.79,2525.00
1449.00,39.00,4.03,2585.00
1229.00,46.00,3.82,2405.00
1529.00,37.00,3.90,2600.00
1489.00,38.00,4.08,2540.00
1179.00,48.00,3.90,2135.00
1259.00,45.00,4.31,2285.00
1829.00,31.00,3.95,3110.00
1289.00,44.00,4.11,2360.00
1669.00,34.00,4.23,2630.00
1419.00,40.00,3.96,2375.00
1159.00,49.00,3.68,2030.00
1209.00,47.00,4.09,2240.00
1579.00,36.00,4.22,2525.00
1459.00,39.00,4.08,2585.00
1779.00,32.00,4.30,3095.00
1539.00,37.00,4.04,2600.00
1389.00,41.00,4.16,2645.00
1499.00,38.00,4.20,2540.00
1239.00,46.00,3.97,2405.00
1629.00,35.00,4.02,2675.00
1729.00,33.00,4.32,2750.00
1189.00,48.00,4.03,2150.00
1969.00,29.00,3.78,3290.00
1269.00,45.00,4.05,2285.00
1329.00,43.00,4.35,2255.00
1299.00,44.00,4.28,2360.00
1589.00,36.00,3.79,2525.00
1789.00,32.00,3.66,3095.00
1909.00,30.00,4.02,3275.00
1169.00,49.00,4.38,2045.00
1219.00,47.00,4.23,2255.00
1549.00,37.00,3.57,2630.00
1509.00,38.00,4.51,2540.00
1399.00,41.00,4.53,2645.00
1739.00,33.00,3.90,2750.00
1689.00,34.00,4.52,2675.00
1249.00,46.00,3.79,2465.00
1369.00,42.00,4.27,2465.00
1199.00,48.00,3.85,2165.00
1339.00,43.00,4.14,2270.00
1309.00,44.00,3.72,2375.00
1859.00,31.00,4.23,3140.00
1989.00,29.00,4.04,3290.00
1479.00,39.00,4.07,2585.00
1649.00,35.00,4.26,2690.00
1519.00,38.00,3.98,2540.00
1699.00,34.00,4.00,2675.00
1229.00,47.00,4.49,2285.00
1179.00,49.00,3.78,2075.00
1929.00,30.00,4.46,3320.00
1809.00,32.00,4.47,3095.00
1259.00,46.00,4.09,2480.00
1869.00,31.00,3.69,3140.00
1449.00,40.00,4.12,2435.00
1289.00,45.00,4.32,2330.00
1209.00,48.00,3.64,2165.00
1569.00,37.00,4.68,2675.00
1659.00,35.00,4.24,2705.00
1489.00,39.00,4.17,2600.00
1529.00,38.00,3.90,2570.00
1939.00,30.00,4.35,3320.00
1419.00,41.00,3.75,2675.00
1819.00,32.00,4.42,3110.00
1239.00,47.00,4.23,2330.00
1189.00,49.00,3.61,2075.00
1619.00,36.00,4.14,2555.00
1389.00,42.00,4.39,2510.00
1459.00,40.00,4.10,2435.00
1769.00,33.00,4.00,2765.00
1269.00,46.00,4.66,2480.00
1669.00,35.00,4.29,2705.00
1579.00,37.00,4.16,2675.00
1359.00,43.00,4.62,2315.00
1299.00,45.00,3.82,2360.00
1329.00,44.00,4.42,2465.00
1219.00,48.00,4.17,2165.00
1889.00,31.00,3.91,3155.00
1429.00,41.00,4.62,2690.00
1629.00,36.00,4.20,2585.00
1779.00,33.00,3.87,2795.00
1249.00,47.00,4.20,2345.00
1199.00,49.00,4.59,2105.00
1729.00,34.00,4.46,2675.00
1589.00,37.00,3.96,2675.00
1279.00,46.00,4.47,2525.00
1509.00,39.00,3.94,2615.00
1549.00,38.00,4.40,2600.00
1369.00,43.00,4.27,2315.00
1309.00,45.00,4.20,2375.00
1339.00,44.00,3.99,2480.00
1229.00,48.00,3.68,2165.00
1789.00,33.00,3.84,2825.00
1969.00,30.00,3.68,3335.00
1689.00,35.00,4.00,2720.00
1739.00,34.00,3.96,2675.00
1479.00,40.00,4.41,2465.00
1909.00,31.00,4.40,3200.00
1259.00,47.00,4.24,2345.00
1519.00,39.00,3.57,2660.00
1209.00,49.00,4.15,2105.00
1289.00,46.00,4.18,2540.00
1319.00,45.00,4.21,2390.00
1449.00,41.00,4.13,2735.00
1699.00,35.00,3.81,2735.00
1239.00,48.00,3.93,2165.00
1609.00,37.00,4.67,2675.00
1489.00,40.00,4.48,2480.00
1419.00,42.00,4.34,2555.00
1569.00,38.00,3.89,2630.00
1529.00,39.00,4.28,2675.00
1269.00,47.00,4.31,2360.00
1989.00,30.00,3.69,3335.00
1809.00,33.00,4.44,2840.00
1659.00,36.00,4.39,2645.00
1389.00,43.00,4.07,2330.00
1219.00,49.00,4.40,2135.00
1299.00,46.00,4.01,2540.00
1929.00,31.00,3.79,3200.00
1359.00,44.00,4.52,2525.00
1329.00,45.00,4.07,2420.00
1459.00,41.00,4.48,2735.00
1619.00,37.00,3.59,2675.00
1249.00,48.00,4.11,2165.00
1579.00,38.00,4.08,2630.00
1429.00,42.00,3.73,2570.00
1669.00,36.00,4.36,2660.00
1939.00,31.00,4.13,3215.00
1279.00,47.00,4.22,2375.00
1769.00,34.00,4.35,2690.00
1399.00,43.00,4.41,2345.00
1309.00,46.00,4.19,2555.00
1229.00,49.00,4.20,2150.00
1369.00,44.00,3.96,2540.00
1339.00,45.00,4.17,2420.00
1629.00,37.00,3.94,2690.00
1829.00,33.00,4.22,2870.00
1509.00,40.00,4.19,2510.00
1589.00,38.00,4.02,2630.00
1549.00,39.00,4.37,2690.00
1259.00,48.00,3.88,2195.00
1779.00,34.00,4.57,2690.00
1729.00,35.00,4.28,2780.00
1289.00,47.00,4.26,2375.00
1479.00,41.00,4.22,2765.00
1319.00,46.00,4.43,2555.00
1349.00,45.00,4.11,2435.00
1239.00,49.00,4.12,2165.00
1519.00,40.00,3.89,2525.00
1559.00,39.00,3.73,2690.00
1789.00,34.00,4.07,2735.00
1449.00,42.00,4.63,2600.00
1269.00,48.00,3.95,2225.00
1649.00,37.00,4.28,2720.00
1419.00,43.00,4.38,2420.00
1969.00,31.00,4.29,3230.00
1489.00,41.00,4.20,2765.00
1299.00,47.00,4.08,2390.00
1909.00,32.00,4.04,3215.00
1389.00,44.00,4.26,2555.00
1329.00,46.00,3.78,2585.00
1359.00,45.00,4.34,2450.00
1569.00,39.00,4.12,2735.00
1249.00,49.00,4.47,2210.00
1459.00,42.00,4.32,2615.00
1859.00,33.00,4.37,2930.00
1659.00,37.00,4.44,2720.00
1279.00,48.00,4.34,2225.00
1429.00,43.00,4.16,2450.00
1499.00,41.00,3.99,2765.00
1809.00,34.00,3.87,2750.00
1619.00,38.00,4.36,2660.00
1309.00,47.00,3.55,2405.00
1399.00,44.00,4.20,2570.00
1579.00,39.00,3.96,2750.00
1339.00,46.00,4.18,2585.00
1369.00,45.00,4.24,2480.00
1989.00,31.00,4.58,3245.00
1869.00,33.00,4.01,2930.00
1259.00,49.00,4.22,2210.00
1929.00,32.00,3.17,3230.00
1669.00,37.00,3.99,2735.00
1819.00,34.00,3.86,2780.00
1509.00,41.00,4.39,2780.00
1289.00,48.00,4.28,2255.00
1629.00,38.00,3.97,2660.00
1769.00,35.00,3.98,2810.00
1549.00,40.00,4.26,2555.00
1589.00,39.00,3.46,2795.00
1319.00,47.00,4.28,2435.00
1939.00,32.00,4.28,3260.00
1349.00,46.00,4.24,2585.00
1479.00,42.00,4.69,2645.00
1829.00,34.00,3.67,2795.00
1269.00,49.00,4.16,2225.00
1729.00,36.00,4.39,2795.00
1779.00,35.00,4.43,2825.00
1519.00,41.00,3.76,2780.00
1449.00,43.00,3.90,2450.00
1889.00,33.00,3.94,2945.00
1299.00,48.00,4.42,2300.00
1419.00,44.00,4.44,2585.00
1329.00,47.00,4.17,2465.00
1689.00,37.00,3.82,2750.00
1389.00,45.00,3.06,2510.00
1359.00,46.00,3.39,2585.00
1489.00,42.00,4.11,2675.00
1739.00,36.00,4.55,2810.00
1789.00,35.00,4.22,2825.00
1649.00,38.00,4.31,2660.00
1279.00,49.00,4.13,2255.00
1529.00,41.00,3.96,2795.00
1459.00,43.00,4.36,2465.00
1609.00,39.00,3.85,2795.00
1569.00,40.00,3.96,2570.00
1309.00,48.00,3.90,2300.00
1699.00,37.00,4.32,2765.00
1429.00,44.00,4.54,2615.00
1339.00,47.00,4.54,2465.00
1399.00,45.00,3.82,2525.00
1369.00,46.00,3.66,2600.00
1909.00,33.00,4.20,2960.00
1969.00,32.00,4.01,3260.00
1659.00,38.00,4.34,2675.00
1539.00,41.00,3.07,2795.00
1619.00,39.00,4.24,2810.00
1579.00,40.00,3.91,2585.00
1289.00,49.00,3.86,2300.00
1859.00,34.00,3.84,2840.00
1709.00,37.00,3.98,2765.00
1809.00,35.00,4.33,2825.00
1319.00,48.00,4.22,2300.00
1509.00,42.00,4.59,2690.00
1349.00,47.00,4.23,2480.00
1669.00,38.00,3.98,2690.00
1379.00,46.00,3.94,2630.00
1549.00,41.00,4.29,2810.00
1629.00,39.00,3.67,2825.00
1869.00,34.00,4.33,2870.00
1589.00,40.00,3.32,2585.00
1479.00,43.00,4.29,2510.00
1989.00,32.00,3.81,3275.00
1929.00,33.00,3.56,2975.00
1299.00,49.00,4.33,2315.00
1769.00,36.00,4.03,2825.00
1449.00,44.00,4.34,2615.00
1329.00,48.00,4.20,2300.00
1419.00,45.00,4.36,2555.00
1359.00,47.00,4.28,2480.00
1389.00,46.00,4.14,2675.00
1559.00,41.00,3.35,2825.00
1599.00,40.00,4.11,2585.00
1729.00,37.00,4.51,2780.00
1939.00,33.00,4.09,2975.00
1829.00,35.00,4.50,2825.00
1489.00,43.00,4.59,2555.00
1779.00,36.00,3.93,2840.00
1309.00,49.00,4.47,2330.00
1689.00,38.00,3.94,2705.00
1459.00,44.00,3.77,2645.00
1529.00,42.00,3.94,2690.00
1339.00,48.00,4.29,2300.00
1429.00,45.00,4.12,2555.00
1569.00,41.00,3.99,2840.00
1739.00,37.00,4.01,2780.00
1369.00,47.00,4.27,2495.00
1399.00,46.00,4.21,2735.00
1789.00,36.00,4.28,2855.00
1499.00,43.00,4.17,2555.00
1699.00,38.00,3.88,2735.00
1319.00,49.00,4.52,2360.00
1659.00,39.00,2.95,2840.00
1749.00,37.00,4.08,2795.00
1579.00,41.00,4.21,2840.00
1349.00,48.00,4.06,2330.00
1379.00,47.00,4.55,2525.00
1509.00,43.00,4.44,2585.00
1909.00,34.00,4.06,2915.00
1709.00,38.00,4.40,2750.00
1969.00,33.00,4.44,3035.00
1549.00,42.00,4.44,2705.00
1479.00,44.00,4.54,2660.00
1669.00,39.00,3.62,2855.00
1809.00,36.00,4.08,2855.00
1329.00,49.00,4.56,2375.00
1589.00,41.00,4.13,2840.00
1629.00,40.00,4.10,2615.00
1449.00,45.00,3.59,2570.00
1359.00,48.00,3.95,2345.00
1419.00,46.00,3.99,2780.00
1389.00,47.00,4.49,2570.00
1979.00,33.00,4.63,3035.00
1519.00,43.00,3.87,2585.00
1869.00,35.00,4.24,2885.00
1769.00,37.00,4.23,2810.00
1559.00,42.00,4.21,2720.00
1489.00,44.00,3.81,2660.00
1599.00,41.00,4.06,2840.00
1929.00,34.00,4.09,2915.00
1339.00,49.00,4.31,2375.00
1989.00,33.00,4.15,3035.00
1459.00,45.00,3.93,2600.00
1729.00,38.00,4.30,2780.00
1369.00,48.00,3.92,2345.00
1429.00,46.00,4.59,2780.00
1529.00,43.00,3.62,2600.00
1399.00,47.00,3.80,2585.00
1779.00,37.00,4.03,2825.00
1829.00,36.00,4.31,2885.00
1689.00,39.00,3.51,2900.00
1569.00,42.00,4.42,2750.00
1939.00,34.00,4.02,2915.00
1499.00,44.00,4.07,2675.00
1609.00,41.00,4.32,2870.00
1739.00,38.00,4.26,2780.00
1349.00,49.00,4.46,2390.00
1539.00,43.00,4.15,2630.00
1789.00,37.00,4.30,2825.00
1379.00,48.00,4.48,2345.00
1409.00,47.00,4.00,2600.00
1699.00,39.00,4.28,2900.00
1579.00,42.00,4.28,2750.00
1659.00,40.00,4.23,2660.00
1619.00,41.00,4.42,2885.00
1509.00,44.00,4.29,2705.00
1749.00,38.00,4.27,2795.00
1479.00,45.00,3.65,2645.00
1359.00,49.00,4.35,2390.00
1549.00,43.00,4.51,2630.00
1709.00,39.00,3.92,2900.00
1449.00,46.00,4.10,2795.00
1389.00,48.00,3.98,2390.00
1419.00,47.00,3.77,2600.00
1589.00,42.00,4.06,2765.00
1669.00,40.00,4.45,2675.00
1629.00,41.00,3.72,2915.00
1909.00,35.00,4.62,2915.00
1519.00,44.00,3.96,2750.00
1859.00,36.00,4.49,2885.00
1809.00,37.00,3.96,2825.00
1969.00,34.00,3.98,2975.00
1489.00,45.00,4.01,2660.00
1559.00,43.00,4.33,2660.00
1369.00,49.00,4.06,2405.00
1459.00,46.00,4.44,2795.00
1399.00,48.00,4.11,2405.00
1429.00,47.00,4.39,2615.00
1639.00,41.00,4.07,2915.00
1769.00,38.00,4.03,2825.00
1529.00,44.00,3.52,2750.00
1819.00,37.00,4.06,2825.00
1729.00,39.00,3.95,2930.00
1499.00,45.00,4.46,2720.00
1569.00,43.00,4.42,2660.00
1929.00,35.00,4.20,2930.00
1689.00,40.00,4.58,2705.00
1379.00,49.00,4.30,2420.00
1779.00,38.00,4.03,2855.00
1649.00,41.00,4.25,2915.00
1989.00,34.00,4.11,2975.00
1409.00,48.00,3.93,2405.00
1829.00,37.00,4.02,2855.00
1539.00,44.00,4.37,2780.00
1739.00,39.00,3.62,2930.00
1939.00,35.00,4.27,2945.00
1579.00,43.00,4.49,2660.00
1509.00,45.00,4.62,2750.00
1699.00,40.00,4.08,2720.00
1789.00,38.00,4.29,2885.00
1619.00,42.00,4.11,2795.00
1659.00,41.00,3.87,2930.00
1479.00,46.00,4.34,2855.00
1389.00,49.00,3.99,2420.00
1449.00,47.00,4.28,2660.00
1419.00,48.00,4.44,2420.00
1549.00,44.00,4.54,2780.00
1749.00,39.00,4.03,2960.00
1589.00,43.00,3.96,2675.00
1519.00,45.00,3.83,2765.00
1849.00,37.00,3.75,2915.00
1629.00,42.00,4.10,2810.00
1669.00,41.00,3.98,2930.00
1489.00,46.00,4.00,2870.00
1399.00,49.00,3.89,2420.00
1459.00,47.00,3.93,2675.00
1429.00,48.00,4.53,2420.00
1909.00,36.00,3.77,2885.00
1809.00,38.00,3.79,2900.00
1599.00,43.00,4.34,2675.00
1859.00,37.00,3.99,2945.00
1529.00,45.00,3.73,2765.00
1639.00,42.00,4.56,2810.00
1969.00,35.00,4.03,2945.00
1499.00,46.00,4.58,2870.00
1769.00,39.00,4.13,2975.00
1569.00,44.00,4.40,2795.00
1409.00,49.00,4.28,2420.00
1439.00,48.00,3.88,2450.00
1819.00,38.00,3.88,2900.00
1869.00,37.00,4.26,2960.00
1729.00,40.00,4.02,2765.00
1609.00,43.00,3.98,2690.00
1689.00,41.00,4.16,2975.00
1539.00,45.00,4.36,2765.00
1779.00,39.00,4.15,3005.00
1509.00,46.00,3.78,2870.00
1929.00,36.00,3.68,2885.00
1579.00,44.00,4.06,2810.00
1829.00,38.00,3.83,2900.00
1479.00,47.00,3.53,2690.00
1419.00,49.00,3.83,2435.00
1449.00,48.00,3.61,2495.00
1989.00,35.00,3.79,2945.00
1619.00,43.00,4.07,2705.00
1699.00,41.00,4.22,2975.00
1659.00,42.00,4.44,2825.00
1549.00,45.00,3.81,2780.00
1789.00,39.00,4.27,3005.00
1939.00,36.00,3.87,2900.00
1519.00,46.00,3.95,2870.00
1889.00,37.00,4.52,2990.00
1589.00,44.00,4.06,2810.00
1749.00,40.00,3.61,2810.00
1489.00,47.00,4.28,2705.00
1429.00,49.00,4.40,2450.00
1459.00,48.00,4.18,2555.00
1629.00,43.00,3.86,2735.00
1709.00,41.00,4.37,2975.00
1669.00,42.00,4.58,2840.00
1559.00,45.00,4.05,2780.00
1849.00,38.00,4.05,2930.00
1529.00,46.00,4.40,2870.00
1599.00,44.00,3.47,2810.00
1499.00,47.00,4.07,2720.00
1639.00,43.00,4.26,2750.00
1439.00,49.00,4.54,2465.00
1809.00,39.00,4.31,3035.00
1569.00,45.00,4.46,2795.00
1909.00,37.00,4.29,2990.00
1859.00,38.00,3.68,2945.00
1769.00,40.00,4.50,2825.00
1539.00,46.00,3.93,2870.00
1969.00,36.00,3.74,2915.00
1729.00,41.00,4.52,3020.00
1649.00,43.00,4.69,2765.00
1509.00,47.00,4.51,2720.00
1689.00,42.00,4.15,2855.00
1479.00,48.00,4.00,2570.00
1449.00,49.00,3.96,2480.00
1869.00,38.00,3.93,2945.00
1579.00,45.00,4.18,2795.00
1779.00,40.00,4.47,2855.00
